model,size,angle_deg,L_k,L_low,L_high,q,p,matched_bpp
bmshj2018-factorized,256x256,90.0,0.757350951933148,0.3771891699859045,0.9760242399871236,4.0,,0
bmshj2018-hyperprior,256x256,0.0,0.4089831730740648,0.1452388753910857,0.7554431178140316,4.0,,0
bmshj2018-hyperprior,256x256,15.0,0.2569264863475243,0.1754677312193908,0.7762993659521449,4.0,,0
bmshj2018-hyperprior,256x256,30.0,0.3305086165273262,0.2455205345292882,0.543776785525977,4.0,,0
bmshj2018-hyperprior,256x256,45.0,0.441484026851398,0.210288241844549,0.7871985714437295,4.0,,0
bmshj2018-hyperprior,256x256,60.0,0.2094350879561876,0.1672652229622508,0.7330312522775304,4.0,,0
bmshj2018-hyperprior,256x256,75.0,0.346393434455075,0.3550079743767138,0.5868604369638658,4.0,,0
bmshj2018-hyperprior,256x256,90.0,0.4123338588555412,0.1378112745511502,0.7513066899096184,4.0,,0
mbt2018-mean,256x256,0.0,0.4921499233567775,0.166311257346687,0.7470349243444245,4.0,,0
mbt2018-mean,256x256,15.0,0.4555852438314632,0.1714171024356215,0.7427892420645011,4.0,,0
mbt2018-mean,256x256,30.0,0.3441057803374213,0.188289768515237,0.574487568816199,4.0,,0
mbt2018-mean,256x256,45.0,0.358231610183694,0.1394399429205876,0.7900720405726169,4.0,,0
mbt2018-mean,256x256,60.0,0.1869445971625283,0.1516204200955676,0.68651527277059,4.0,,0
mbt2018-mean,256x256,75.0,0.3600164827610425,0.4309511535061051,0.4483755494877942,4.0,,0
mbt2018-mean,256x256,90.0,0.4906451564160415,0.1526439140195261,0.7454692020563654,4.0,,0
mbt2018,256x256,0.0,0.3648041450143105,0.1541729969788363,0.7514060229388924,4.0,,0
mbt2018,256x256,15.0,0.2358736520793842,0.1766950984370381,0.7765900745483696,4.0,,0
mbt2018,256x256,30.0,0.3381104032145611,0.1860121556208156,0.5649575898001571,4.0,,0
mbt2018,256x256,45.0,0.3593074568927736,0.1068065701566235,0.7981850598051197,4.0,,0
mbt2018,256x256,60.0,0.167569401362318,0.1533085815712053,0.7038721126664387,4.0,,0
mbt2018,256x256,75.0,0.2848714632088619,0.1907203230174381,0.3194408236831529,4.0,,0
mbt2018,256x256,90.0,0.3674530833143873,0.1195561179787918,0.7449812454963836,4.0,,0
webp,256x256,0.0,0.0037662856199862,0.0022049701907485,0.0038000436042542,4.0,,0
webp,256x256,15.0,0.0032161442071844,0.0027766848498973,0.0045716569642297,4.0,,0
webp,256x256,30.0,0.0035245884458529,0.0036549300672549,0.0034388685855757,4.0,,0
webp,256x256,45.0,0.0037651534798116,0.0023274982645918,0.0036580258976465,4.0,,0
webp,256x256,60.0,0.0034064569118479,0.0027059447214598,0.0047451630341553,4.0,,0
webp,256x256,75.0,0.0035093672096556,0.0035570377724062,0.003297402078631,4.0,,0
webp,256x256,90.0,0.0037400912682021,0.0022222369743197,0.0037331208217727,4.0,,0
jpeg,256x256,0.0,0.0101006910282339,0.0036059754315278,0.0141804921563957,4.0,,0
jpeg,256x256,15.0,0.0066183082522984,0.0052974827962142,0.0131474383183074,4.0,,0
jpeg,256x256,30.0,0.0077297784488667,0.0079067279554741,0.0074759636900207,4.0,,0
jpeg,256x256,45.0,0.0096293252660045,0.0041938867433284,0.0119661869726057,4.0,,0
jpeg,256x256,60.0,0.0070015121879389,0.0054772843812377,0.0137203506369618,4.0,,0
jpeg,256x256,75.0,0.0080755844722265,0.0075332594437344,0.008510230711386,4.0,,0
jpeg,256x256,90.0,0.0097908180686812,0.0038071742399904,0.0144451080172873,4.0,,0
jpegxl,256x256,0.0,0.0024129399795924,0.0016431842698464,0.0027618937553224,4.0,,0
jpegxl,256x256,15.0,0.0026203913089247,0.0021024310580193,0.0042640320061461,4.0,,0
jpegxl,256x256,30.0,0.0026597617636398,0.0027062442389391,0.0032089781490137,4.0,,0
jpegxl,256x256,45.0,0.0024581072880039,0.0017590744807938,0.0030204635458019,4.0,,0
jpegxl,256x256,60.0,0.0024506325676189,0.0020611316060115,0.0044581692933363,4.0,,0
jpegxl,256x256,75.0,0.002453668140138,0.0029843840380367,0.003007218018318,4.0,,0
