model,size,angle_deg,L_k,L_low,L_high,q,p,matched_bpp
jpeg,256x256,60.0,0.0387776813815425,0.0304522248991201,0.1030055265478744,1.0,,0
jpeg,256x256,75.0,0.0494646208088401,0.0441692574428937,0.0540966212176078,1.0,,0
jpeg,256x256,90.0,0.0585495905053377,0.0212511537522067,0.1028010149634668,1.0,,0
jpegxl,256x256,0.0,0.0094887265453485,0.0057443351868971,0.0146278768112421,1.0,,0
jpegxl,256x256,15.0,0.0102274177241144,0.0088800484906552,0.0205974523131696,1.0,,0
jpegxl,256x256,30.0,0.0104959127633587,0.0099644300618867,0.0134945900457614,1.0,,0
jpegxl,256x256,45.0,0.0105817051912398,0.0071762965373034,0.0155051168833867,1.0,,0
jpegxl,256x256,60.0,0.0094407565498588,0.0082078154291962,0.0192135154198435,1.0,,0
jpegxl,256x256,75.0,0.0105598854145649,0.0105773993840796,0.0134288154771907,1.0,,0
jpegxl,256x256,90.0,0.0098974513804765,0.0069795989238839,0.0107503384127886,1.0,,0
webp,256x256,0.0,0.016441176813667,0.0078964282395453,0.0169767428680858,1.0,,0
webp,256x256,15.0,0.0131820344958686,0.0111358030348185,0.0213260486886882,1.0,,0
webp,256x256,30.0,0.0144333977007837,0.0153453190290037,0.0134543820072513,1.0,,0
webp,256x256,45.0,0.016305250146881,0.0082303770557574,0.0164394377636903,1.0,,0
webp,256x256,60.0,0.0132260060817702,0.0103781519141974,0.0211109803560023,1.0,,0
webp,256x256,75.0,0.0145219702214706,0.0156616658237627,0.0133556416012253,1.0,,0
webp,256x256,90.0,0.0162129926184886,0.0081329901226857,0.0168060878015269,1.0,,0
ftic,256x256,0.0,0.0124755355868892,0.0097703860561299,0.0266470023796111,2.0,,0
ftic,256x256,15.0,0.0124799637930418,0.0105637112531177,0.0153853466770523,2.0,,0
ftic,256x256,30.0,0.0119859788904546,0.0110814383540158,0.0173050951471908,2.0,,0
ftic,256x256,45.0,0.0146359170640268,0.0130045405718532,0.0363783163441352,2.0,,0
ftic,256x256,60.0,0.0138813410869095,0.0116892079709392,0.0193337086284043,2.0,,0
ftic,256x256,75.0,0.0117362926250891,0.0097658169205742,0.0171673168201874,2.0,,0
ftic,256x256,90.0,0.0124753846350093,0.0096432566785242,0.0267084240636439,2.0,,0
cheng2020-anchor,256x256,0.0,0.6438599518401118,0.1318085740675914,0.7951586964004109,2.0,,0
cheng2020-anchor,256x256,15.0,0.2434273298872921,0.2074311804631222,0.95872900203342,2.0,,0
cheng2020-anchor,256x256,30.0,0.3578688577409521,0.2834372482878542,0.8104742188459179,2.0,,0
cheng2020-anchor,256x256,45.0,0.4694901439629905,0.0963392063438521,0.8560208334701854,2.0,,0
cheng2020-anchor,256x256,60.0,0.2376215950813811,0.2286286545613354,0.873143064136984,2.0,,0
cheng2020-anchor,256x256,75.0,0.396278734274468,0.3942589492557413,0.4035197237587679,2.0,,0
cheng2020-anchor,256x256,90.0,0.6627997504134547,0.138967902993165,0.7763894655871899,2.0,,0
cheng2020-attn,256x256,0.0,0.517595869342192,0.1951495402015737,0.8349600775271762,2.0,,0
cheng2020-attn,256x256,15.0,0.2514367435919392,0.233440755184778,0.9249480557717012,2.0,,0
cheng2020-attn,256x256,30.0,0.4741921346367904,0.3513073515149738,0.7866650402704727,2.0,,0
cheng2020-attn,256x256,45.0,0.5102619989045905,0.1296360557109437,0.8695894002530644,2.0,,0
cheng2020-attn,256x256,60.0,0.2467012103561647,0.2207291010358923,0.9246413284972838,2.0,,0
cheng2020-attn,256x256,75.0,0.4154253284410017,0.3559366944493572,0.6028399535762188,2.0,,0
cheng2020-attn,256x256,90.0,0.5341750548667863,0.1998420502937193,0.8309528693935138,2.0,,0
bmshj2018-factorized,256x256,0.0,0.9414839769303188,0.6209535075715149,0.9994953270977114,2.0,,0
bmshj2018-factorized,256x256,15.0,0.9665644387891732,0.612690247782169,0.9903716489724048,2.0,,0
bmshj2018-factorized,256x256,30.0,0.9004145150040379,0.6643344583123062,0.9750180603951444,2.0,,0
bmshj2018-factorized,256x256,45.0,0.940051156695433,0.6284478620223448,0.967282321682556,2.0,,0
bmshj2018-factorized,256x256,60.0,0.9949654663877427,0.6077450642173751,0.9998771410643398,2.0,,0
bmshj2018-factorized,256x256,75.0,0.9016436986144108,0.6790824045473217,0.9999201048313684,2.0,,0
bmshj2018-factorized,256x256,90.0,0.9430114536478692,0.6330949763533723,0.9927251418601843,2.0,,0
