Model,Size,p,q,bpp,L_k,L_low,L_high,ODR_k,|Delta_c_k|,s_k,H_k_bits,CE_k(w=2)
bmshj2018-hyperprior,64x64,,3.0,1.5905,0.4525,0.2426,0.7786,0.3915,0.0127,0.1064,0.5603,0.851
webp,128x128,,3.0,3.29,0.0061,0.0043,0.0068,0.0031,0.0014,0.0392,0.0185,0.9941
ftic,1024x1024,,3.0,1.9774,0.0088,0.0065,0.0374,0.0045,0.0011,0.0377,0.0206,0.9916
cheng2020-anchor,64x64,,3.0,1.2688,0.4767,0.12,0.904,0.4263,0.0173,0.1557,0.5673,0.8637
cheng2020-anchor,128x128,,3.0,1.1378,0.6376,0.1242,0.7346,0.7062,0.0143,0.1433,0.5774,0.8318
bmshj2018-hyperprior,128x128,,3.0,1.1415,0.4744,0.2335,0.8065,0.423,0.0096,0.1062,0.549,0.8049
bmshj2018-hyperprior,1024x1024,,3.0,1.0964,0.5763,0.2814,0.8274,0.5915,0.0141,0.1284,0.5947,0.6631
mbt2018-mean,64x64,,3.0,1.3771,0.4457,0.2495,0.7853,0.3835,0.0156,0.1062,0.5053,0.8573
bmshj2018-factorized,512x512,,3.0,0.3163,0.873,0.6181,0.9995,0.9979,0.0545,0.1784,0.7616,0.5367
webp,512x512,,3.0,3.1691,0.0054,0.0043,0.0056,0.0027,0.0013,0.0367,0.0145,0.9947
ftic,256x256,,3.0,1.111,0.0084,0.0067,0.0172,0.0042,0.0014,0.0381,0.0225,0.992
ftic,512x512,,3.0,1.5046,0.0085,0.0062,0.0263,0.0043,0.0011,0.0372,0.0211,0.992
webp,64x64,,3.0,3.6602,0.0064,0.002,0.0067,0.0032,0.0012,0.0403,0.021,0.9941
bmshj2018-factorized,1024x1024,,3.0,0.3101,0.877,0.6266,0.9999,0.9984,0.0672,0.185,0.7498,0.5323
mbt2018-mean,128x128,,3.0,1.5514,0.4491,0.2152,0.7931,0.3867,0.0122,0.1101,0.4416,0.8764
mbt2018-mean,256x256,,3.0,2.799,0.4333,0.252,0.809,0.3647,0.012,0.1068,0.4354,0.8347
bmshj2018-factorized,128x128,,3.0,0.3645,0.844,0.5783,0.9997,0.9911,0.0302,0.1445,0.7381,0.6628
cheng2020-attn,512x512,,3.0,0.9916,0.5042,0.1768,0.8108,0.4687,0.0189,0.1494,0.4647,0.8484
mbt2018,256x256,,3.0,1.243,0.5724,0.2783,0.7986,0.5845,0.022,0.1549,0.6997,0.6144
mbt2018,512x512,,3.0,1.2506,0.6571,0.3199,0.8315,0.7435,0.0299,0.1873,0.7634,0.5058
webp,256x256,,3.0,3.1929,0.0056,0.0042,0.0059,0.0028,0.0013,0.0375,0.016,0.9945
bmshj2018-factorized,256x256,,3.0,0.3315,0.8533,0.6053,0.9996,0.9941,0.0367,0.1595,0.7486,0.6262
mbt2018-mean,512x512,,3.0,2.8992,0.4414,0.2697,0.8184,0.3758,0.0116,0.1099,0.43,0.8075
mbt2018-mean,1024x1024,,3.0,2.6824,0.4542,0.2844,0.8309,0.3937,0.0121,0.1127,0.4261,0.7844
cheng2020-attn,1024x1024,,3.0,1.0053,0.5001,0.1744,0.8015,0.4624,0.0185,0.1501,0.4364,0.8431
bmshj2018-factorized,64x64,,3.0,0.457,0.8147,0.4933,0.9966,0.9756,0.0301,0.1423,0.7328,0.7477
mbt2018,64x64,,3.0,1.4425,0.3835,0.2174,0.8003,0.3015,0.0178,0.1156,0.5373,0.843
mbt2018,128x128,,3.0,1.2947,0.4527,0.1943,0.7582,0.3915,0.0233,0.1319,0.6055,0.7389
webp,1024x1024,,3.0,3.043,0.0056,0.0043,0.0059,0.0028,0.0013,0.0374,0.0144,0.9944
jpeg,512x512,,3.0,2.2237,0.0159,0.0069,0.0236,0.0081,0.0025,0.0489,0.0381,0.9848
